time,touch_count,last_touch_delay
1489276964,0,1368729
1489276964,0,1368783
1489276979,0,1384046
1489276995,0,1400027
1489277011,0,1416049
1489277027,0,1431999
1489277043,0,1448015
1489277059,0,1464028
1489277075,0,1479996
1489277091,0,1495988
1489277106,0,1511205
1489277123,0,1528025
1489277139,0,1544003
1489277155,0,1560032
1489277171,0,1576003
1489277187,0,1592033
1489277203,0,1607694
1489277219,0,1623995
1489277235,0,1640020
1489277251,0,1656025
1489277267,0,1671989
1489277268,0,1673492
1489277268,0,1673562
1489277283,0,1688012
1489277299,0,1703983
1489277315,0,1720017
1489277331,0,1735973
1489277347,0,1751975
1489277363,0,1768037
1489277379,0,1784001
1489277395,0,1800041
1489277411,0,1816054
1489277427,0,1832042
1489277443,0,1848021
1489277459,0,1864023
1489277474,0,1879080
1489277490,0,1895013
1489277506,0,1911065
1489277522,0,1927029
1489277538,0,1943041
1489277554,0,1959034
1489277570,0,1975000
1489277571,0,1976361
1489277571,0,1976416
1489277586,0,1991029
1489277602,0,2007030
1489277618,0,2023006
1489277634,0,2038975
1489277650,0,2054995
1489277666,0,2071022
1489277682,0,2087025
1489277698,0,2103028
1489277714,0,2118996
1489277730,0,2135061
1489277746,0,2151010
1489277762,0,2166995
1489277777,0,2182032
1489277794,0,2199035
1489277810,0,2215010
1489277826,0,2231026
1489277842,0,2247036
1489277858,0,2263021
1489277874,0,2279025
1489277875,0,2280510
1489277875,0,2280569
1489277890,0,2295050
1489277906,0,2311000
1489277922,0,2326992
1489277938,0,2343013
1489277954,0,2359036
1489277970,0,2375000
1489277986,0,2391009
1489278001,0,2406044
1489278017,0,2421997
1489278033,0,2437989
1489278049,0,2454029
1489278064,0,2469100
1489278080,0,2485042
1489278096,0,2501034
1489278112,0,2517022
1489278128,0,2532994
1489278144,0,2549018
1489278160,0,2565011
1489278176,0,2581023
1489278177,0,2582638
1489278178,0,2582684
1489278191,0,2596077
1489278207,0,2612014
1489278223,0,2628016
1489278239,0,2644044
1489278255,0,2660034
1489278271,0,2676043
1489278287,0,2692047
1489278303,0,2708043
1489278319,0,2724019
1489278334,0,2739073
1489278350,0,2755048
1489278366,0,2771059
1489278382,0,2787031
1489278398,0,2802998
1489278414,0,2818999
1489278430,0,2835013
1489278445,0,2850047
1489278461,0,2866046
1489278477,0,2882045
1489278478,0,2883580
1489278478,0,2883645
1489278492,0,2897098
1489278508,0,2913027
1489278524,0,2929022
1489278540,0,2945046
1489278556,0,2961040
1489278573,0,2977995
1489278589,0,2994012
1489278605,0,3009994
1489278621,0,3025996
1489278637,0,3042016
1489278653,0,3058056
1489278669,0,3074031
1489278684,0,3089082
1489278699,0,3104131
1489278716,0,3121054
1489278732,0,3137039
1489278748,0,3153011
1489278764,0,3169026
1489278780,0,3184988
1489278781,0,3186575
1489278781,0,3186629
1489278795,0,3200043
1489278811,0,3216053
1489278827,0,3232005
1489278843,0,3248006
1489278858,0,3263043
1489278874,0,3279045
1489278890,0,3295008
1489278906,0,3311007
1489278922,0,3327001
1489278938,0,3343010
1489278954,0,3359007
1489278970,0,3374989
1489278986,0,3391003
1489279002,0,3406986
1489279017,0,3422030
1489279033,0,3438056
1489279049,0,3453989
1489279065,0,3469997
1489279081,0,3486014
1489279082,0,3487544
1489279082,0,3487598
1489256988,0,1071377
1489257003,0,1086436
1489257020,0,1103316
1489257036,0,1119303
1489257052,0,1135294
1489257068,0,1151286
1489257084,0,1167283
1489257100,0,1183274
1489257116,0,1199276
1489257132,0,1215295
1489257148,0,1231291
1489257164,0,1247289
1489257180,0,1263314
1489257196,0,1279296
1489257212,0,1295272
1489257228,0,1311299
1489257243,0,1326371
1489257259,0,1342313
1489257275,0,1358303
1489257276,0,1359949
1489257276,0,1360024
1489257291,0,1374282
1489257307,0,1390302
1489257323,0,1406270
1489257339,0,1422269
1489257355,0,1438308
1489257371,0,1454268
1489257387,0,1470295
1489257403,0,1486285
1489257418,0,1501337
1489257434,0,1517315
1489257450,0,1533314
1489257465,0,1548360
1489257481,0,1564308
1489257497,0,1580302
1489257513,0,1596310
1489257529,0,1612320
1489257544,0,1627366
1489257560,0,1643327
1489257576,0,1659338
1489257577,0,1660881
1489257577,0,1660983
1489257592,0,1675317
1489257608,0,1691295
1489257624,0,1707279
1489257640,0,1723278
1489257656,0,1739294
1489257672,0,1755302
1489257688,0,1771292
1489257704,0,1787287
1489257720,0,1803292
1489257735,0,1818343
1489257752,0,1835351
1489257768,0,1851309
1489257784,0,1867308
1489257800,0,1883332
1489257816,0,1899309
1489257832,0,1915311
1489257848,0,1931309
1489257865,0,1948318
1489257881,0,1964312
1489257882,0,1965916
1489257882,0,1965974
1489257897,0,1980285
1489257913,0,1996305
1489257929,0,2012303
1489257945,0,2028284
1489257961,0,2044301
1489257977,0,2060291
1489257993,0,2076279
1489258009,0,2092321
1489258024,0,2107369
1489258040,0,2123300
1489258056,0,2139295
1489258072,0,2155282
1489258088,0,2171289
1489258103,0,2186327
1489258119,0,2202358
1489258135,0,2218337
1489258150,0,2233381
1489258165,0,2248424
1489258182,0,2265344
1489258184,0,2267068
1489258184,0,2267143
1489258198,0,2281302
1489258213,0,2296356
1489258229,0,2312326
1489258245,0,2328322
1489258260,0,2343377
1489258277,0,2360306
1489258292,0,2375367
1489258308,0,2391290
1489258324,0,2407298
1489258340,0,2423938
1489258357,0,2440290
1489258373,0,2456335
1489258390,0,2473288
1489258405,0,2488335
1489258421,0,2504355
1489258437,0,2520323
1489258453,0,2536300
1489258469,0,2552332
1489258485,0,2568324
1489258486,0,2569845
1489258486,0,2569896
1489258501,0,2584308
1489258516,0,2599370
1489258533,0,2616332
1489258549,0,2632303
1489258565,0,2648314
1489258582,0,2665348
1489258598,0,2681281
1489258614,0,2697287
1489258630,0,2713313
1489258645,0,2728343
1489258662,0,2745337
1489258678,0,2761317
1489258694,0,2777288
1489258710,0,2793302
1489258726,0,2809295
1489258742,0,2825296
1489258757,0,2840346
1489258772,0,2855735
1489258789,0,2872309
1489258790,0,2873907
1489258790,0,2873956
1489258804,0,2887331
1489258819,0,2902387
1489258834,0,2917441
1489258849,0,2932492
1489258864,0,2947557
1489258880,0,2963350
1489258896,0,2979307
1489258912,0,2995338
1489258927,0,3010389
1489258944,0,3027335
1489258959,0,3042380
1489258976,0,3059314
